'snails	'con oc sen
literatim	theo dung nghia den
literation	biet chu
literatus	biet doc
lithaemia	thymia
litharge	cham lua
lithe	vai thua
litheness	it dau
lither	nguoi rai rac
litho	cac thanh vien
lithodome	hoa thach thao
lithodomous	thuoc ve thach anh
lithogenesy	thach sinh
lithoglypher	nguoi viet thach ban
lithoglyphic	chu in thach
lithographer	nha in thach ban
lithography	in thach ban
lithologically	ve mat thach hoc
lithonthriptic	thach ban
lithontriptist	nha nghien cuu lithontriptist
lithophagous	co thach xuong
lithophotography	nhiep anh thach ban
lithotomy	soi than
lithotripsy	tan soi
lithotriptist	nha nghien cuu anh sang
lithotritor	may ban da
lithotypy	cay thach anh
lithuanian	tieng lithuanian
litigant	duong su
litigator	nguoi tranh tung
litigious	kien tung
litmus	quy tim
littering	xa rac
litui	bai bien
lituite	vi du twitter
liturgically	ve mat thien nhien
liturgiologist	nha thach hoc
liturgiology	thach hoc
liturgist	nha phung vu
liturgy	phung vu
live-forever	song mai
lived	da song
livelihood	ke sinh nhai
liver-colored	mau gan
liver-grown	gan lon
liveried	song chung
liverwort	la gan
livery stable	livery on dinh
livid	tuc gian
living	cuoc song
livingness	su song
livor	vet bam tim
livre	sach
lizard	con than lan
lizard's tail	duoi than lan
llandeilo group	nhom llandeilo
llanero	nguoi binh nguyen
loader	nguoi nap
loading	dang tai
loadmanage	quan ly tai trong
loadsman	nguoi boc vac
loafer	nguoi cho vay nang lai
loam	dat mun
loamed	loe loet
loan	tien vay
loanable	co the cho muon
loaning	cho vay
loanmonger	nguoi cho vay
loather	long la
loathsome	khong ua
loaves	o banh mi
lobately	hanh dong
lobby	sanh doi
lobbying	van dong hanh lang
lobbyist	nguoi van dong hanh lang
lobcock	con cong
lobe-footed	chan thuy
lobed	thuy
lobeliaceous	co chat nhon
lobsided	bi lech
lobulated	van dong
lobule	tieu thuy
lobworm	con tom hum
localism	chu nghia dia phuong
localitiees	nguoi ban xu
localizing	ban dia hoa
locator	may dinh vi
lochaber axe	riu lochaber
loche	vi tri
lock hospital	khoa benh vien
lock step	khoa buoc
lock stitch	khoa khau
lock-down	lenh dong cua
lock-weir	khoa dap
lockage	su nhot
locked	bi khoa
locked-jaw	ham bi khoa
locken	lon toc
locket	me day
locking	khoa
lockjaw	cai khoa
lockless	khong co khoa
lockman	nguoi sua khoa
lockout	khoa may
locky	co khoa
loco	thay vi
locofoco	nhan nha
locomotive	dau may xe lua
locomotivity	su van dong
locular	dia phuong
loculous	co dia phuong
locum tenens	trung uy
locus	quy tich
locust tree	cay cao cao
locustella	cao cao
locusting	dinh vi
locution	cum tu
lodde	mo han
lodesman	nguoi lodesman
lodgeable	co the o duoc
lodged	cho o
lodging	cho o tro
lodgment	nha nghi
loellingite	liet ke cac lien ket
loess	hoang tho
loeven's larva	au trung cua loeven
loft	can ho nho
loftily	cao ca
logan	qua nhan
logarithmically	logarit
loggan	nhat ky
logged	ghi nhat ky
logic	hop ly
logically	mot cach hop ly
logicalness	tinh logic
logician	nha logic hoc
logics	logic hoc
logmen	dang nhap
logographer	nguoi ghi chep so sach
logographical	hau can
logomachy	day bung
logroll	dang nhap cuon
loin	xa
loir	ky tuc xa
loitered	vang ve
loke	o tren
lokorys	tho khoa
loll	le ra
lollardism	thuyet lollardism
lollipop	keo mut
lombar-house	nha that lung
lombard-house	nha lombard
londonism	dan london
loneliness	su co don
loneness	su co doc
long primer	son lot dai
long-armed	vu trang dai
long-lived	song lau
long-sight	tam nhin xa
long-sighted	biet lo xa
long-sightedness	can thi nang
long-stop	dung lai lau
long-sufferance	chiu dung lau dai
long-suffering	chiu kho
long-tongue	luoi dai
long-tongued	noi dai
long-waisted	eo dai
longbeak	mo dai
longboat	thuyen dai
longe	xa xam
longer	lau hon
longhand	tay dai
longicornia	sung dai
longilateral	ben dai
longimanous	long nhan
longimetry	thoi gian dai
longipennate	long dai
longish	hoi dai
longitude	kinh do
longlegs	doi chan dai
longly	dai
longmynd rocks	da longmynd
longness	su lau dai
longnose	mui dai
longshanks	xin chan thanh cam on
longshoremen	nguoi di bo bien
longways	nhung con duong dai
lonis quatorze	vao ngay muoi bon
loob	noi dia
loof	khen
lookdown	nhin xuong
looked	da nhin
looker	nguoi nhin
looking	dang nhin
lool	tren cau chuyen
loom	khung cui
loony	dien khung
loopholed	vong vo
looplight	den pha
loosener	nguoi noi long
looseness	su long leo
loosening	noi long
loover	tan la
lopeared	lop tai
loppering	vong bo chet
lopsided	lech lac
loquaciously	co ve dep de
loquaciousness	tinh hieu nghia
lorate	yeu quy
lordkin	da chua
lordlike	giong nhu chua te
lordly	chua te
lordolatry	lanh chua
lordosis	benh lanh chua
lords and ladies	lanh chua va quy ba
lordship	quyen lanh chua
lore	truyen thuyet
loriner	nguoi co don
loris	cu li
losange	kim cuong
losenger	nguoi thua cuoc
loser	ke thua cuoc
losingly	thua cuoc
lossful	mat mat
lossless	khong mat mat
lost	mat di
lote	lo hang
lotion	nuoc thom
lotos-eater	nguoi an nhieu
lotted	danh lo to
lotteries	xo so kien thiet
lotus	hoa sen
lotus-eater	nguoi an hoa sen
louchettes	la thu
loud-mouthed	to mom
loud-voiced	lon tieng
lough	tieng keu to
lounge	phong cho
lounger	ghe dai
lounging	tho than
lousily	te hai
lousy	toi te
louver	cua gio
louvre	la sach
lovage	yeu nghiet
love-drury	tinh yeu-say dam
love-making	lam tinh
love-sickness	tinh yeu-benh tat
loved	yeu
lovelorn	that tinh
loving-kindness	long yeu thuong
lovingness	tinh yeu thuong
lovyer	hat dau
low	thap
low-churchism	thoi gian thap
low-churchman	nha tho thap
low-churchmanship	tin nguong thap
low-lived	song thap
low-mindedness	dau oc thap kem
low-necked	thap co be hong
low-pressure	ap luc thap
low-spirited	tinh than thap
lowbell	qua ta
lower	thap hon
lower-case	chu thuong
lowermost	thap nhat
lowery	thap kem
lowh	dia an
lowk	tuan nay
lowland	vung dat thap
lowlander	mien xuoi
lowliness	su thap kem
lowly	hen mon
lowness	su thap hen
loxodremism	chu nghia loxodremism
loyalist	nguoi trung thanh
loyally	trung thanh
lubricator	chat boi tron
lubrifaction	su boi tron
lubrification	boi tron
lucchese	tu lucca
lucernaria	den chum
lucerne	linh lang
lucidly	minh man
lucidness	su minh man
lucific	bach duong
luckily	may man thay
luckiness	su may man
lucky proach	proach may man
lucrative	beo bo
lucrific	sinh loi
lucubration	su sang suot
lucubratory	phong thi nghiem
luculent	ho ro rang
luculently	sang suot
ludification	su hoa long
ludlow group	nhom ludlow
luffed	lu lu luan
luggage	hanh ly
lugsail	cai vau
lugubrious	sau tham
lullingly	hat ru
lum	tum lum
lumbago	dau that lung
lumbar	ngang lung
luminant	soi sang
lumination	su phat sang
luminosity	do sang
lump	cuc buou
lumped	gop lai
lumper	nguoi lom ngom
lumpfish	ca lu du
lumpish	lon nhon
lumpsucker	cuc u
lumpy	von cuc
luna	nhan vien van phong
lunacies	su mat tri
lunar	am lich
lunarian	nguoi lunarian
lunated	ru ngu
lunatic	nguoi mat tri
lunation	su ru ngu
lunch	bua trua
luncheon	tiec trua
lunching	an trua
lunette	kinh deo
lung	phoi
lung-grown	phoi phat trien
lungfish	ca phoi
lungless	khong co phoi
lungworm	giun phoi
lungwort	la phoi
lunistice	am duong
lunulite	nhung con lunules
lurch	lao dao
lurched	lan than
lurcher	nguoi lurcher
lurchline	duong lao dao
lured	bi du
luring	dan du
lurker	nguoi an nap
lurking	an nap
lusern	co linh lang
lusitanian	tieng lusitanian
luster lustre	anh sang bong
lustrating	them khat
lustration	su them khat
lustre	nuoc bong
lustreless	khong them khat
lustrums	den treo
lusty	dam dang
lutanist	nghe si choi dan
lutarious	leu long
lute	dan nguyet
lute-backed	dan luyt chong lung
lutenist	tu nghe si dan bau
luteo-	dan nguyet-
lutescent	cay dan nguyet
lutestring	day nit
lutherism	thuyet lutheranism
luting	moi nhu
lutist	num vu gia
luxation	trat khop
luxuriancy	um tum
luxuriation	xum xue
luxuries	xa xi
lych gate	cong lych
lychee	vai thieu
lye	dung dich kiem
lying-in	nam trong
lyingly	doi tra
lyme grass	co lyme
lymphadenitis	viem hach
lymphadenoma	hach
lymphitis	viem bach huyet
lymphogenic	sinh bach huyet
lymphography	bach huyet hoc
lymphoma	ung thu hach
lymphy	bach huyet
lynch law	luat lynch
lynched	phan nhanh
lynx-eyed	mat linh mieu
lyraid	cay trong
lyre	dan lia
lyre bird	chim lia
lyrie	loi bai hat
lyriferous	hoa ly
lyrism	tru tinh
lyrist	nguoi viet loi
lysis	ly giai
maara shell	vo cua toi
macadamizing	da dam
macaranga gum	keo cao su makaranga
macaronis	mi ong
macaroon	banh hanh nhan
macassar oil	dau macassar
macaw	vet duoi dai
macedonian	nguoi macedonian
macedonianism	chu nghia macedonianism
machete	dao rua
machiavelism	chu nghia may moc
machining	gia cong
macilent	ngoan ngoan
mackinaw blanket	chan mackinaw
maclurea	macular
macrame lace	ren macrame
macro-	vi mo-
macrobiotic	thuc duong
macrology	vi mo hoc
macrometer	may do do cao
macropodal	dai thuc bao
macropodous	dai thuc vat
macula	diem vang
maculature	dat vang
mad	dien
mad-apple	qua tao
mad-headed	dien dau
madam	thua ba
madden	bi ma me
madder	dien hon
madefaction	su hai long
madefication	su tao thanh
madefied	tao thanh
madefy	lam ra
madefying	tao hinh
madegassy	lam ra ve
madhouse	nha thuong dien
madrepore	cua hang dien tu
madreporian	ba chua
madrier	tam van
madrigalist	nguoi theo chu nghia dien cuong
madrilenian	o madrid
madrina	me do dau
maestricht monitor	man hinh maestricht
maestro	nhac truong
magazined	da duoc lam sach
magazinist	tu tap chi
magbote	chai
magdala	cung cap 
magenta	do tuoi
maggot	sau non
maggotish	con gioi
maggoty	con gioi
magical	huyen dieu
magically	dieu ky dieu
magician	nha ao thuat
magister	phap su
magisterially	ve mat phap ly
magistral	xa lo
magistratic	tham quyen
magistratical	tham phan
magistrature	co quan tu phap
magma	dung nham
magna charta	giay tuyet voi
magnanimity	su hao hung
magnanimously	hao hung
magnase black	magnase den
magnesium	magie
magnetiferous	co tu tinh
magnetizer	may cham
magnetometer	tu ke
magnetomotor	nam cham
magnetotherapy	lieu phap cham
magnifiable	co the phong dai
magnificence	su trang le
magnifico	trang le
magnifier	kinh lup
magniloquence	su phong dai
magnitude	kich co
magnolia	moc lan
magpie	chim ac la
maguari	den nha ao thuat
mahl-stick	thanh an
mahogany	go gu
mahometism	chu nghia gia dinh
mahometist	tho lam nha
mahon stock	co phieu mahon
mahout	quan tuong
mahumetan	trong tay ao
mahwa tree	ban thay gi?
maian	nguoi maya
maid	nguoi giup viec
maid's hair	toc cua co hau gai
maidenlike	thoi con gai ngay lap tuc
maidenship	hau gai
maidpale	thoi con gai
maigre	do nghieng
maikel	michael
maikong	buon ban ngan han
mailable	co the gui thu
mailed	gui qua buu dien
mailing	gui thu
main yard	san chinh
main-gauche	tay trai
main-hamper	can tro chinh
mainland	dat lien
mainly	chu yeu
mainpernable	chinh co the
mainpin	mo ghim
mainprise	chinh bat ngo
mainprising	su dam nghi dam lam
mains	nguon dien
mainstay	tru cot
maintainable	co the bao tri
maintainor	nguoi bao tri
maintenance	su bao tri
maithes	long tot
maize	bap
majestic	hung vi
majesticness	su hung vi
majesties	bat kha khang
majesty	uy nghiem
major	chinh
major general	thieu tuong
major-domo	nha chinh
majorities	da so
majorship	chuyen nganh
majoun	dan
majusculae	chu in hoa
majuscule	chu hoa
makaron	my ong
make-belief	tao niem tin
make-believe	lam cho tin tuong
make-game	lam tro choi
make-peace	hoa binh
makebate	danh dau bo
makeless	lam it
makeshift	tam bo
making-iron	luyen sat
mala	co ay da co
malacologist	nha nghien cuu ve benh ac tinh
malacostomous	di thuong
maladministration	su dieu hanh
maladroit	hau dau
malagash	kho hang hoa
malapropism	benh tat xau
malapropos	se bien mat
malaria	benh sot ret
malarian	sot ret
malax	mu
malaxate	nhao tron
malaxation	su bat on
malaxator	nguoi kich dong
malconformation	di dang
maldanian	nguoi maldanian
male-	nam gioi-
male-odor	mui nam
male-spirited	tinh than nam gioi
maledicent	ho se nguyen rua
maledict	anh ay chui rua
malediction	loi nguyen
maleficent	hiem ac
maleficiate	bi nguyen rua
maleficient	ho se lam dieu ac
maleic	thuoc ve nam
malengine	khac
malevolous	ac tam
malexecution	nam gioi
maleyl	ml
malign	hung tinh
malignance	ac doc
maligned	sai trai
maligner	nguoi ac doc
maligning	trai y
malignity	benh ac tinh
malinger	son
malingered	co nam gioi
malingerer	ke xau
malingery	benh hiem ngheo
malleable	de uon
malleableness	tinh de uon
malleal	de uon nan
malled	trung tam mua sam
mallee bird	chim mallee
mallei	cay bua
malleolar	khong lanh manh
malleoli	voi mot cai bua
malleus	benh suy nhuoc
mallows	vit troi
malobservation	malobservance
malonate	ac y
malpighiaceous	co mau mo
malthusianism	chu nghia lam giau
malting	mach nha
maltreating	lam xau
malvaceous	ac tinh
malversation	su nghich hanh
mammalogical	giong vat co vu
mammalogist	nha nghien cuu ve vu
mammalogy	gia pha
mammary	tuyen vu
mammer	ve so do
mammet	con voi ma mut
mammies	cac ba me
mammilae	ho vu
mammodis	vu to
mammology	khoa hoc co vu
mammonist	nguoi ve vu
mammonization	mammoni hoa
mammoth	voi ma mut
man-eater	nguoi dan ong an
manageability	kha nang quan ly
manageable	quan ly duoc
manageless	khong quan ly
management	ban quan ly
managership	quyen quan ly
manca	thieu
manchet	co tay ao
mancona bark	vo cay mancona
mandarin	quan thoai
mandarinic	man da la
mandarinism	chu nghia kho sai
mandatary	quan ham
mandate	thi hanh
mandator	nguoi uy quyen
mander	nguoi ve ban do
mandibular	ham duoi
mandibulated	bat buoc
mandibuliform	hinh ham duoi
mandoline	dan mandolin
mandrel	truc ga
manducable	co the uy thac
manducatory	su bat buoc
manductor	mang co
manducus	nguoi an
manege	truong dua
maneless	khong co co dong
manequin	ma no canh
manesheet	toi lanh
maneuverer	nguoi dieu dong
manganesian	mangan
mangcorn	bap rang bo
mangel-wurzel	thieu goc
mangily	vi dang
mangled	mang mang
mangling	noi doi
mangoes	xoai
mangonism	chu nghia xoai
mangonist	nguoi trong xoai
mangosteen	qua mang cut
mangrove	rung ngap man
mangue	xoai
manhead	dau nguoi
manhole	mieng cong
maniable	tien dung
manichaeism	thuyet manichaeism
manicheism	hung phan
manicheist	tho lam mong tay
manicure	cat mong tay
manid	nguoi dien
manie	hung cam
manifestable	co the bieu lo
manifesting	bieu lo
manifestly	hien nhien
manifestoes	tuyen ngon
manifests	bieu hien
manifold	nhieu thu khac nhau
manifolded	da tap
manifolding	su bay to
maniform	hinh hai
manilio	den tay
manioc	khoai mi
manipulation	thao tac
manipulator	nguoi thao tung
manipulatory	thao tung
manito	ban tay nho
manlessly	khong co nguoi dan ong
manling	tinh than hoang da
manned	co nguoi lai
manner	thai do
mannered	cu xu
mannerist	cach cu xu
mannheim gold	mannheim vang
manning	cach quan ly
mannitic	man di
manoeuvrer	su dieu dong
manoeuvring	dieu dong
manor	trang vien
manoscope	kinh manoscope
manoscopy	soi manoscopy
manrope	nguoi dan ong khoc
mansard roof	mai nha mansard
manservant	nguoi phu viec nam
mansionry	dinh thu
manslaughter	ngo sat
manstealer	nguoi pha che
manswear	quan ao nam
manta	quen di
mantelshelf	ke lo suoi
mantis	con bo ngua
mantispid	bo ngua
mantle	lop ao
mantled	co lop ao
mantologist	nha bo hoc
mantra	than chu
mantuamaker	nguoi lam banh mi
manubial	thu cong
manubria	tay lai
manubrium	xu ly
manuducent	ho se dan dau
manufactural	nha may san xuat
manufactured	duoc san xuat
manufacturer	nha che tao
manumise	tap tin dinh kem
manumit	anh ay ra lenh
manumitted	nhan luc
manumitting	cach lam viec
manumotive	nhan loai
manumotor	dong co bang tay
manured	co nhan luc
manuscriptal	ban thao
manutenency	tinh dan ong
manway	nhan dao
many-minded	nhieu dau oc
manyplies	nhieu loai
manyways	nhieu cach
manywise	tuong tu nhu vay
maoadam road	duong da dam
maple	cay phong
maplike	giong nhu ban do
mapped	anh xa
mapping	lap ban do
maranta	con gai cua co ay
marble	da hoa
marbleizing	da cam thach hoa
march	thang ba
march-mad	thang ba dien
march-ward	phuong ba
marcian	nguoi sao hoa
mare's-nest	to ngua cai
marechal niel	nguyen soai niel
margaritic	bo thuc vat
margaritiferous	mang ngoc trai
margarodite	nhung vien ngoc trai
margate fish	ca dieu hanh
margin	le
marginalia	can bien
marginally	gioi han
marginging	dieu hanh
marined	uop
mariner	nguoi hang hai
mariotte's law	luat mariotte
marjoram	la kinh gioi
markable	co the danh dau
marketable	co the ban duoc tren thi truong
marketableness	tinh thi truong
marketer	nha tiep thi
markisesse	vao marquee
marksmen	thien xa
marlstone	da cam thach
marmalet	mut cam
marmoration	hon le
marmoratum opus	cong viec cam thach
marmorosis	benh marmorosis
marmottes oil	dau marmots
maroon	bo roi
marque	danh dau
marquisdom	hau tuoc
marred	hoen o
marriageability	kha nang ket hon
marriageable	co the ket hon
marron	mau nau
marroon	nau
marrowbone	xuong tuy
marrowfat	chat beo tuy
marrowish	co mau trang duc
marrowless	khong co tuy
marrowy	buoc deu
marrried	cuoi nhau
mars	sao hoa
marsh marigold	cuc van tho marsh
marshaled	nguyen soai
marshalsea	cac canh sat truong
marshalship	soai ca
marsupialia	thu co tui
marsupialian	nguoi co tui
martel de fer	bua sat
martello tower	thap martello
marten	mot loai chon
martialism	chu nghia vo thuat
martialist	vo si
martialized	vo trang
martializing	vo thuat
martialness	vo cong
martinetism	chu nghia hon nhan
martite	thu ba
martyrize	tu vi dao
martyrological	liet si
martyrologist	nha tu dao hoc
martyrology	tu dao hoc
martyrship	su tu dao
mascled	nam tinh hoa
mascotte	linh vat
masculine	giong duc
masher	tho nghien
mashy	duoc chu
mask shell	vo mat na
masked	che mat
maskery	nguoi deo mat na
maskinonge	cau be may moc
maslach	phan cam
maslin	oliu
mason	tho ne
masonry	ne
masoola boat	vo ve ngot ngao
masoretical	thuoc ve ly thuyet
masquerade	le hoi hoa trang
massacred	bi tan sat
massage	mat xa
massasauga	ma saso la
masse shot	cu dam bop
massed	dong dao
masseter	nguoi xoa bop
masseuse	nguoi dam bop
massiness	khoi luong lon
massively	o at
massiveness	su to lon
massoola boat	thuyen massoola
massora	quan chung
massoret	khoi luong
masted	co cot buom
masterhood	su lam chu
masterless	khong co chu
masterliness	su tinh thong
masterpiece	kiet tac
mastership	quyen lam chu
mastery	lam chu
masthead	tieu de
masthouse	nha cua
mastication	su nghien ngam
masticator	may nghien
masticatory	su nghien nat
mastich	gan guong
mastitis	viem vu
mastless	khong co cot buom
mastodon	voi rang mau
mastoidal	xuong chum
mastology	khoa hoc ve xuong khop
masturbation	thu dam
masty	vui ve
masula boat	thuyen masula
mat	cung voi
matachin	cam mot lan nua
matadore	sat thu
match	cuoc thi dau
match-cloth	vai diem
matchable	co the dieu khien duoc
matchless	khong sanh duoc
matchlock	que diem
matchmaker	nguoi mai moi
matchmaking	mai moi
mateless	khong truong thanh
mateology	vat chat hoc
mater	truong cu
materia medica	nguyen lieu thuoc men
materialism	chu nghia duy vat
materialist	nguoi theo chu nghia duy vat
materialistic	nang ve vat chat
materialize	cu the hoa
materializing	vat chat hoa
maternal	mau than
maternity	thai san
math	mon toan
mathesis	luan van thac sy
mating	giao phoi
matriarchal	mau he
matriculation	trung tuyen
matronage	su cai quan
matronized	thanh thuc
matronlike	giong nhu matronlike
matter	van de
matter-of-fact	van de cua thuc te
maturant	tot nghiep trung hoc
maturate	tich luy
maturer	nguoi truong thanh
matutinary	ky nguyen
matutine	vao buoi sang
maul-stick	gay maul
maundy thursday	maundy thu nam
maurist	tho lam maurist
mausoleum	lang mo
mauther	tho lam mauther
mauvaniline	mauvanic
mauveine	mau hoa ca
mavis	chim hoa mi
mawkin	hai trang web
mawkish	ban o dau?
mawky	thoi gian cua toi
mawmet	co ay da thuc day
mawworm	con mawworm
maxilliform	rang ham mat
maxillo-mandibular	ham tren-ham duoi
maxima	cuc dai
